,book name,Author name,Ratings
0,3 Easy Steps to Win at Life,Deep Trivedi,4.3 out of 5 stars
1,Atomic Habits: The life-changing million copy bestseller,James Clear,4.7 out of 5 stars
2,Ikigai: The Japanese secret to a long and happy life,Héctor García,4.6 out of 5 stars
3,The Psychology of Money,Morgan Housel,4.6 out of 5 stars
4,The Answer Writing Manual for UPSC Civil Services & State PSC Examinations,Srushti Deshmukh Gowda IAS,4.7 out of 5 stars
5,My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,4.5 out of 5 stars
6,Peppa Pig Early Learning Library (English-Hindi): Boxset of 10 Board Books for Children,Wonder House Books,4.3 out of 5 stars
7,Learn with Adi | Morning to Evening conversation | English Connection,Adwita Keshari,5.0 out of 5 stars
8,"Oxford Student Atlas for India, Fourth Edition - Useful for Competitive Exams",Oxford University Press,4.4 out of 5 stars
9,"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for children of all ages by Sudha Murty",Sudha Murty,4.6 out of 5 stars
10,The Power of Your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars
11,3 Aasaan Steps Mein Jeevan Ko Jeeto,Deep Trivedi,4.7 out of 5 stars
12,"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Kids - English Short Stories with Colourful Pictures - Read Aloud to Infants, Toddlers",Maple Press,4.4 out of 5 stars
13,Word Power Made Easy,Norman Lewis,4.4 out of 5 stars
14,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.6 out of 5 stars
15,The Alchemist,Paulo Coelho,4.6 out of 5 stars
16,Indian Polity ( English| 6th Revised Edition) | UPSC | Civil Services Exam | State Administrative Exams,M Laxmikanth,4.5 out of 5 stars
17,"Dear Stranger, You Deserve To Be Loved",,4.9 out of 5 stars
18,Best of Children’s Classics (Set of 5 Books): Perfect Gift Set for Kids,Antoine de Saint-Exupéry,4.4 out of 5 stars
19,It Ends With Us: A Novel: Volume 1,Colleen Hoover,4.5 out of 5 stars
20,Trading Chart Breakout Pattern & Candlestick Pattern Pocket Study,Akash Kundur,4.2 out of 5 stars
21,"MTG Objective NCERT at your FINGERTIPS - Biology, Best NEET Books (Based on NCERT Pattern - Latest & Revised Edition 2022)",MTG Editorial Board,4.5 out of 5 stars
22,When I Am With You,Durjoy Datta,
23,My First Book of Pencil Control : Practice Pattern Writing (Full Color Pages): Patterns Practice book for kids (Pattern Writing),Wonder House Books,4.4 out of 5 stars
24,The Blue Umbrella,Ruskin Bond,4.5 out of 5 stars
25,Brain Activity Book for Kids - 200+ Activities for Age 3+,Maple Press,4.5 out of 5 stars
26,28 Years UPSC Civil Services IAS Prelims Topic-wise Solved Papers 1 & 2 (1995 - 2022) 13th Edition,Mrunal Patel,3.9 out of 5 stars
27,"Life's Amazing Secrets: How to Find Balance and Purpose in Your Life | Inspirational Zen book on motivation, self-development & healthy living",Gaur Gopal Das,4.6 out of 5 stars
28,Concept of Physics by H.C Verma Part - I - Session 2022-23,H.C. Verma,4.6 out of 5 stars
29,"The Courage To Be Disliked: How to free yourself, change your life and achieve real happiness (Courage To series)",Ichiro Kishimi and Fumitake Koga,4.5 out of 5 stars
30,Rituals of Happy Soul,Deepanshu Giri,5.0 out of 5 stars
31,How to Win Friends and Influence People,Dale Carnegie,4.5 out of 5 stars
32,Rich Dad Poor Dad - 20Th Anniversary Edition - Hindi,Robert T. Kiyosaki,4.5 out of 5 stars
33,Quantitative Aptitude for Competitive Examinations,R S Aggarwal,4.4 out of 5 stars
34,The Almanack Of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,4.7 out of 5 stars
35,World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,Dale Carnegie,4.5 out of 5 stars
36,108 Panchatantra Stories (Illustrated) for children,Maple Press,4.4 out of 5 stars
37,The Intelligent Investor (English) Paperback – 2013,Benjamin Graham,4.5 out of 5 stars
38,Animals Tales From Panchtantra: Timeless Stories for Children From Ancient India,Wonder House Books,4.5 out of 5 stars
39,Moral Story Books for Kids (Pack of 10 Books) | 160 Total Pages | Illustrated Stories,Young Angels Publishing,4.3 out of 5 stars
40,CBSE All In One Science Class 10 2022-23 Edition (As per latest CBSE Syllabus issued on 21 April 2022),"Rashmi Gupta Sonal Singh ,Ruchi Kapoor,Imran Ahmad , Sanubai",4.4 out of 5 stars
41,Attitude Is Everything: Change Your Attitude ... Change Your Life!,Jeff Keller,4.5 out of 5 stars
42,CBSE All In One Social Science Class 10 2022-23 Edition (As per latest CBSE Syllabus issued on 21 April 2022),Farah Sultan Madhumita Pattrea,4.2 out of 5 stars
43,DO EPIC SHIT,Ankur Warikoo,4.5 out of 5 stars
44,3 Aasaan Stepsma Jeevanne Jeeto,Deep Trivedi,4.7 out of 5 stars
45,"2022 UPDATED Sank Magic Practice Copybook, (4 BOOK + 1 PEN + 10 REFILL) Number Tracing Book for Preschoolers with Pen, Magic calligraphy books for kids Reusable Writing Tool (19*13 cm)",SHNMN,4.6 out of 5 stars
46,"Writing Practice Boxset: Pack of 4 Books (Writing Fun: Write and Practice Capital Letters, Small Letters, Patterns and Numbers 1 to 10)",Wonder House Books,4.3 out of 5 stars
47,Brijbhoomi Books And Handicrafts® Bhagavad Gita: Yatharoop,Brijbhoomi Books And Handicrafts,4.8 out of 5 stars
48,You Can,George Matthew Adams,4.5 out of 5 stars
49,Ruskin Bond - Best Selling Children Story Books Collection (Set of 4 Books),Ruskin Bond,4.5 out of 5 stars
